Date(UTC),UnixTimeStamp,Value,
6/30/16,1467244800,12.4,
7/1/16,1467331200,12.23,
7/2/16,1467417600,12.04,
7/3/16,1467504000,11.85,
7/4/16,1467590400,11.34,
7/5/16,1467676800,10.45,
7/6/16,1467763200,10.51,
7/7/16,1467849600,10.07,
7/8/16,1467936000,11.3,
7/9/16,1468022400,10.92,
7/10/16,1468108800,10.97,
7/11/16,1468195200,10.58,
7/12/16,1468281600,10.54,
7/13/16,1468368000,10.44,
7/14/16,1468454400,11.55,
7/15/16,1468540800,11.88,
7/16/16,1468627200,11.59,
7/17/16,1468713600,11.19,
7/18/16,1468800000,11.03,
7/19/16,1468886400,11.63,
7/20/16,1468972800,12.54,
7/21/16,1469059200,12.66,
7/22/16,1469145600,14.82,
7/23/16,1469232000,14.4,
7/24/16,1469318400,12.63,
7/25/16,1469404800,13.84,
7/26/16,1469491200,12.08,
7/27/16,1469577600,13.05,
7/28/16,1469664000,12.87,
7/29/16,1469750400,12.87,
7/30/16,1469836800,12.57,
7/31/16,1469923200,11.86,
8/1/16,1470009600,11.04,
8/2/16,1470096000,8.3,
8/3/16,1470182400,10.42,
8/4/16,1470268800,11.21,
8/5/16,1470355200,11.05,
8/6/16,1470441600,10.95,
8/7/16,1470528000,10.98,
8/8/16,1470614400,11.29,
8/9/16,1470700800,12.22,
8/10/16,1470787200,12.22,
8/11/16,1470873600,11.68,
8/12/16,1470960000,11.78,
8/13/16,1471046400,11.56,
8/14/16,1471132800,11.21,
8/15/16,1471219200,11.21,
8/16/16,1471305600,11.17,
8/17/16,1471392000,10.77,
8/18/16,1471478400,10.77,
8/19/16,1471564800,10.71,
8/20/16,1471651200,11.28,
8/21/16,1471737600,11.14,
8/22/16,1471824000,11.07,
8/23/16,1471910400,11.01,
8/24/16,1471996800,11.01,
8/25/16,1472083200,11.35,
8/26/16,1472169600,11.26,
8/27/16,1472256000,11.19,
8/28/16,1472342400,10.99,
8/29/16,1472428800,10.95,
8/30/16,1472515200,11.21,
8/31/16,1472601600,11.55,
9/1/16,1472688000,12.21,
9/2/16,1472774400,12.08,
9/3/16,1472860800,11.85,
9/4/16,1472947200,11.71,
9/5/16,1473033600,11.75,
9/6/16,1473120000,11.7,
9/7/16,1473206400,11.59,
9/8/16,1473292800,11.39,
9/9/16,1473379200,11.72,
9/10/16,1473465600,12.05,
9/11/16,1473552000,11.64,
9/12/16,1473638400,11.89,
9/13/16,1473724800,11.92,
9/14/16,1473811200,11.97,
9/15/16,1473897600,11.96,
9/16/16,1473984000,12.61,
9/17/16,1474070400,12.83,
9/18/16,1474156800,12.39,
9/19/16,1474243200,12.93,
9/20/16,1474329600,14.72,
9/21/16,1474416000,13.72,
9/22/16,1474502400,13.11,
9/23/16,1474588800,13.36,
9/24/16,1474675200,12.91,
9/25/16,1474761600,13.05,
9/26/16,1474848000,12.89,
9/27/16,1474934400,13.09,
9/28/16,1475020800,13.3,
9/29/16,1475107200,13.17,
9/30/16,1475193600,13.24,
10/1/16,1475280000,13.21,
10/2/16,1475366400,13.23,
10/3/16,1475452800,13.45,
10/4/16,1475539200,13.32,
10/5/16,1475625600,13.09,
10/6/16,1475712000,12.87,
10/7/16,1475798400,12.68,
10/8/16,1475884800,12.24,
10/9/16,1475971200,12.06,
10/10/16,1476057600,11.74,
